2026-07-24 12:17:33.766 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSBP-LJ01C-09-PCO2WB104: 17 wks, sci~100% [4s, peak 17.8 GiB]
2026-07-24 12:17:33.766 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-2B-PHSENA108: start
2026-07-24 12:17:38.323 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-2B-PHSENA108: 17 wks, sci~25% [5s, peak 17.8 GiB]
2026-07-24 12:17:38.323 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-PC01B-4B-PHSENA106: start
2026-07-24 12:17:42.592 | INFO     | rca_kpis.science:science_instrument:151 - CE04OSPS-PC01B-4B-PHSENA106: 0 wks (no data in window) [4s, peak 17.8 GiB]
2026-07-24 12:17:42.592 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-PC01A-4B-PHSENA102: start
2026-07-24 12:17:47.215 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-PC01A-4B-PHSENA102: 17 wks, sci~100% [5s, peak 17.8 GiB]
2026-07-24 12:17:47.215 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-2D-PHSENA101: start
2026-07-24 12:17:51.603 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-2D-PHSENA101: 16 wks, sci~99% [4s, peak 17.8 GiB]
2026-07-24 12:17:51.604 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-PC03A-4B-PHSENA302: start
2026-07-24 12:17:56.312 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-PC03A-4B-PHSENA302: 17 wks, sci~100% [5s, peak 17.8 GiB]
2026-07-24 12:17:56.312 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-2D-PHSENA301: start
2026-07-24 12:18:01.036 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-2D-PHSENA301: 17 wks, sci~100% [5s, peak 17.8 GiB]
2026-07-24 12:18:01.036 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-PC01B-4C-PHSENH109: start
2026-07-24 12:18:04.207 | WARNING  | rca_kpis.science:science_instrument:146 - CE04OSPS-PC01B-4C-PHSENH109: no QARTOD vars [3s, peak 17.8 GiB]
2026-07-24 12:18:04.207 | INFO     | rca_kpis.science:science_instrument:136 - CE02SHBP-LJ01D-10-PHSENH110: start
2026-07-24 12:18:07.153 | WARNING  | rca_kpis.science:science_instrument:146 - CE02SHBP-LJ01D-10-PHSENH110: no QARTOD vars [3s, peak 17.8 GiB]
2026-07-24 12:18:07.153 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSBP-LJ01C-10-PHSEND107: start
2026-07-24 12:18:11.413 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSBP-LJ01C-10-PHSEND107: 17 wks, sci~92% [4s, peak 17.8 GiB]
2026-07-24 12:18:11.413 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-4B-VELPTD106: start
2026-07-24 12:18:44.111 | WARNING  | rca_kpis.science:science_instrument:146 - CE04OSPS-SF01B-4B-VELPTD106: no QARTOD vars [33s, peak 17.8 GiB]
2026-07-24 12:18:44.122 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-4B-VELPTD102: start
2026-07-24 12:19:32.583 | WARNING  | rca_kpis.science:science_instrument:146 - RS01SBPS-SF01A-4B-VELPTD102: no QARTOD vars [48s, peak 17.8 GiB]
2026-07-24 12:19:32.599 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-4B-VELPTD302: start
2026-07-24 12:20:24.676 | WARNING  | rca_kpis.science:science_instrument:146 - RS03AXPS-SF03A-4B-VELPTD302: no QARTOD vars [52s, peak 17.8 GiB]
2026-07-24 12:20:24.692 | INFO     | rca_kpis.science:science_instrument:136 - RS01SLBS-LJ01A-10-ADCPTE101: start
2026-07-24 12:21:14.367 | INFO     | rca_kpis.science:science_instrument:151 - RS01SLBS-LJ01A-10-ADCPTE101: 0 wks (no data in window) [50s, peak 17.8 GiB]
2026-07-24 12:21:14.376 | INFO     | rca_kpis.science:science_instrument:136 - RS01SUM2-MJ01B-12-ADCPSK101: start
2026-07-24 12:22:05.243 | INFO     | rca_kpis.science:science_instrument:149 - RS01SUM2-MJ01B-12-ADCPSK101: 17 wks, sci~100% [51s, peak 17.8 GiB]
2026-07-24 12:22:05.250 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSBP-LJ01C-05-ADCPSI103: start
2026-07-24 12:22:28.740 | WARNING  | rca_kpis.science:science_instrument:154 - CE04OSBP-LJ01C-05-ADCPSI103: C2 failed (ValueError: conflicting sizes for dimension 'time': length 401798228 on 'bin_depths' and length 401820969 on {'time': 'bin_1_distance'})
2026-07-24 12:22:28.740 | INFO     | rca_kpis.science:science_instrument:136 - CE02SHBP-LJ01D-05-ADCPTB104: start
2026-07-24 12:23:59.163 | INFO     | rca_kpis.science:science_instrument:149 - CE02SHBP-LJ01D-05-ADCPTB104: 17 wks, sci~100% [90s, peak 17.8 GiB]
2026-07-24 12:23:59.212 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXBS-LJ03A-10-ADCPTE303: start
2026-07-24 12:48:34.556 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXBS-LJ03A-10-ADCPTE303: 17 wks, sci~100% [89s, peak 17.8 GiB]
2026-07-24 12:48:34.584 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-PC03A-05-ADCPTD302: start
2026-07-24 12:50:38.058 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-PC03A-05-ADCPTD302: 17 wks, sci~100% [123s, peak 17.8 GiB]
2026-07-24 12:50:38.078 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-PC01A-05-ADCPTD102: start
2026-07-24 12:52:35.729 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-PC01A-05-ADCPTD102: 17 wks, sci~100% [118s, peak 17.8 GiB]
2026-07-24 12:52:35.766 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-PC03A-06-VADCPB301: start
2026-07-24 12:53:21.609 | WARNING  | rca_kpis.science:science_instrument:146 - RS03AXPS-PC03A-06-VADCPB301: no QARTOD vars [46s, peak 17.8 GiB]
2026-07-24 12:53:21.610 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-PC01A-06-VADCPB101: start
2026-07-24 12:54:00.014 | WARNING  | rca_kpis.science:science_instrument:146 - RS01SBPS-PC01A-06-VADCPB101: no QARTOD vars [38s, peak 17.8 GiB]
